label,label_str,total,correct,accuracy,precision,recall,f1
9543,Malvaceae Iliamna remota,16,14,0.875,0.6666666666666666,0.875,0.7567567567567567
12694,Polemoniaceae Gilia clokeyi,9,6,0.6666666666666666,0.46153846153846156,0.6666666666666666,0.5454545454545455
12708,Polemoniaceae Gilia ophthalmoides,8,5,0.625,0.2631578947368421,0.625,0.37037037037037035
4603,Bromeliaceae Tillandsia variabilis,12,10,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
5273,Combretaceae Terminalia buceras,11,9,0.8181818181818182,1.0,0.8181818181818182,0.9
15257,Verbenaceae Duranta erecta,15,11,0.7333333333333333,0.9166666666666666,0.7333333333333333,0.8148148148148148
9794,Melastomataceae Miconia elaeagnoides,22,20,0.9090909090909091,0.9523809523809523,0.9090909090909091,0.9302325581395349
1423,Asparagaceae Yucca elata,8,3,0.375,0.23076923076923078,0.375,0.2857142857142857
1018,Araceae Anthurium lucens,7,7,1.0,0.7777777777777778,1.0,0.8750000000000001
11090,Petiveriaceae Hilleria latifolia,7,7,1.0,0.875,1.0,0.9333333333333333
9309,Loasaceae Mentzelia nitens,16,9,0.5625,0.6923076923076923,0.5625,0.6206896551724138
11388,Plantaginaceae Penstemon albomarginatus,4,4,1.0,1.0,1.0,1.0
9789,Melastomataceae Miconia angustifolia,14,14,1.0,0.875,1.0,0.9333333333333333
8508,Iridaceae Eleutherine bulbosa,5,5,1.0,1.0,1.0,1.0
14504,Salicaceae Casearia aculeata,12,9,0.75,0.75,0.75,0.75
3,Acanthaceae Anisacanthus thurberi,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
11376,Plantaginaceae Mohavea confertiflora,11,10,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523
14661,Sapindaceae Acer spicatum,14,13,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
8477,Hypericaceae Hypericum lobocarpum,16,11,0.6875,0.6470588235294118,0.6875,0.6666666666666667
8483,Hypericaceae Hypericum nudiflorum,12,11,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
9194,Liliaceae Lilium michauxii,10,9,0.9,0.8181818181818182,0.9,0.8571428571428572
3614,Betulaceae Betula lenta,11,7,0.6363636363636364,0.7,0.6363636363636364,0.6666666666666666
5046,Caryophyllaceae Paronychia baldwinii,12,12,1.0,0.6666666666666666,1.0,0.8
11947,Poaceae Dichanthelium transiens,17,16,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.7804878048780487
222,Amaranthaceae Blitum capitatum,15,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
